S.No.,indicator code,Indicators, sub indicators,NFHS-5 (2019-20),,,NFHS-4 2015-16,STATE/UT
,,,,Urban,Rural,Total,Total,
163,32.,Current Use of Family Planning Methods (currently married women age 15–49 years),IUD/PPIUD (%),0.2,0.1,0.2,0.2,Andhra Pradesh
164,33.,Current Use of Family Planning Methods (currently married women age 15–49 years),Pill (%),0.1,0.1,0.1,0.2,Andhra Pradesh
165,34.,Current Use of Family Planning Methods (currently married women age 15–49 years),Condom (%),0.9,0.3,0.5,0.2,Andhra Pradesh
166,35.,Current Use of Family Planning Methods (currently married women age 15–49 years),Injectables (%),0.0,0.0,0.0,0.0,Andhra Pradesh
167,36.,Unmet Need for Family Planning (currently married women age 15–49 years),Total unmet need (%),5.2,4.4,4.7,4.7,Andhra Pradesh
168,37.,Unmet Need for Family Planning (currently married women age 15–49 years),Unmet need for spacing (%),2.3,2.8,2.6,3.1,Andhra Pradesh
169,38.,Quality of Family Planning Services,Health worker ever talked to female non-users about family planning (%),18.6,18.6,18.6,19.7,Andhra Pradesh
170,39.,Quality of Family Planning Services,Current users ever told about side effects of current method (%),33.6,27.1,28.9,25.0,Andhra Pradesh
171,40.,Maternity Care (for last birth in the 5 years before the survey),Mothers who had an antenatal check-up in the first trimester (%),82.7,81.3,81.7,82.3,Andhra Pradesh
172,41.,Maternity Care (for last birth in the 5 years before the survey),Mothers who had at least 4 antenatal care visits (%),67.2,67.6,67.5,76.3,Andhra Pradesh
173,42.,Maternity Care (for last birth in the 5 years before the survey),Mothers whose last birth was protected against neonatal tetanus (%),92.5,92.9,92.8,94.9,Andhra Pradesh
174,43.,Maternity Care (for last birth in the 5 years before the survey),Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),76.7,67.6,70.3,56.1,Andhra Pradesh
175,44.,Maternity Care (for last birth in the 5 years before the survey),Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),45.6,39.3,41.1,30.6,Andhra Pradesh
176,45.,Maternity Care (for last birth in the 5 years before the survey),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.2,97.5,96.5,92.6,Andhra Pradesh
177,46.,Maternity Care (for last birth in the 5 years before the survey),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),92.2,90.1,90.7,79.7,Andhra Pradesh
178,47.,Maternity Care (for last birth in the 5 years before the survey),Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,659","3,248",3105,2322,Andhra Pradesh
