S.No.,indicator code,Indicators, sub indicators,NFHS-5 (2019-20),,,NFHS-4 2015-16,STATE/UT
,,,,Urban,Rural,Total,Total,
887,101.,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,17.6,14.6,15.8,na,Gujarat
888,102.,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high (141-160 mg/dl) (%) - Men,9.5,8.5,9.0,na,Gujarat
889,103.,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - very high (>160 mg/dl) (%) - Men,7.3,6.9,7.1,na,Gujarat
890,104.,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,17.8,16.2,16.9,na,Gujarat
891,105.,Hypertension among Adults (age 15 years and above) - Women,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%) - Women,11.4,12.0,11.7,na,Gujarat
892,106.,Hypertension among Adults (age 15 years and above) - Women,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%) - Women,3.8,5.1,4.6,na,Gujarat
893,107.,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,21.1,20.1,20.6,na,Gujarat
894,108.,Hypertension among Adults (age 15 years and above) - Men,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%) - Men,12.7,13.3,13.1,na,Gujarat
895,109.,Hypertension among Adults (age 15 years and above) - Men,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%) - Men,3.9,4.8,4.4,na,Gujarat
896,110.,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,20.3,20.3,20.3,na,Gujarat
897,111.,Screening for Cancer among Adults (age 30-49 years) - Women,Ever undergone a screening test for cervical cancer (%) - Women,0.3,0.2,0.2,na,Gujarat
898,112.,Screening for Cancer among Adults (age 30-49 years) - Women,Ever undergone a breast examination for breast cancer (%) - Women,0.1,0.1,0.1,na,Gujarat
899,113.,Screening for Cancer among Adults (age 30-49 years) - Women,Ever undergone an oral cavity examination for oral cancer (%) - Women,0.2,0.2,0.2,na,Gujarat
900,114.,Screening for Cancer among Adults (age 30-49 years) - Men,Ever undergone an oral cavity examination for oral cancer (%) - Men,0.5,0.9,0.7,na,Gujarat
901,115.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Women who have comprehensive knowledge of HIV/AIDS (%),36.3,22.8,28.5,18.4,Gujarat
902,116.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Men who have comprehensive knowledge of HIV/AIDS (%),40.7,31.9,35.7,31.5,Gujarat
903,117.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),79.1,57.6,66.7,43.2,Gujarat
904,118.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),89.1,77.5,82.5,68.6,Gujarat
905,119.,Women's Empowerment (women age 15-49 years),Currently married women who usually participate in three household decisions (%),94.4,90.7,92.2,85.4,Gujarat
906,120.,Women's Empowerment (women age 15-49 years),Women who worked in the last 12 months and were paid in cash (%),26.4,34.1,30.8,30.2,Gujarat
907,121.,Women's Empowerment (women age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),41.6,43.3,42.6,27.2,Gujarat
908,122.,Women's Empowerment (women age 15-49 years),Women having a bank or savings account that they themselves use (%),73.5,67.5,70.0,48.6,Gujarat
909,123.,Women's Empowerment (women age 15-49 years),Women having a mobile phone that they themselves use (%),66.0,36.2,48.8,47.9,Gujarat
910,124.,Women's Empowerment (women age 15-49 years),Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),77.6,58.6,65.8,60.3,Gujarat
911,125.,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),10.0,16.8,14.0,20.2,Gujarat
912,126.,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.2,1.2,1.6,1.9,Gujarat
913,127.,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),3.0,4.0,3.6,5.2,Gujarat
914,128.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),5.4,11.0,8.7,na,Gujarat
915,129.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),33.6,46.7,41.1,na,Gujarat
916,130.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),0.3,0.8,0.6,na,Gujarat
917,131.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),4.6,6.8,5.8,na,Gujarat
918,1.,Population and Household Profile,Female population age 6 years and above who ever attended school (%),92.4,79.3,81.0,79.0,Himachal Pradesh
919,2.,Population and Household Profile,Population below age 15 years (%),20.7,22.0,21.8,24.6,Himachal Pradesh
920,3.,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)",936,"1,057",1040,1078,Himachal Pradesh
921,4.,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",843,880,875,937,Himachal Pradesh
922,5.,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),97.9,97.9,97.9,95.3,Himachal Pradesh
923,6.,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),95.8,93.7,94.0,na,Himachal Pradesh
924,7.,Population and Household Profile,Population living in households with electricity (%),99.0,99.5,99.5,99.5,Himachal Pradesh
925,8.,Population and Household Profile,Population living in households with an improved drinking-water source (%),98.4,95.9,96.2,94.9,Himachal Pradesh
926,9.,Population and Household Profile,Population living in households that use an improved sanitation facility (%),85.0,81.3,81.8,72.3,Himachal Pradesh
927,10.,Population and Household Profile,Households using clean fuel for cooking (%),94.7,44.5,51.7,36.7,Himachal Pradesh
928,11.,Population and Household Profile,Households using iodized salt (%),99.0,99.1,99.1,99.1,Himachal Pradesh
929,12.,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),37.1,34.1,34.5,25.8,Himachal Pradesh
930,13.,Population and Household Profile,Children age 5 years who attended pre-primary school during the school year 2019 - 20 (%),12.3,3.4,4.6,na,Himachal Pradesh
931,14.,Characteristics of Adults (age 15-49 years),Women who are literate (%),95.0,91.2,91.7,na,Himachal Pradesh
932,15.,Characteristics of Adults (age 15-49 years),Men who are literate (%),91.7,95.4,94.9,na,Himachal Pradesh
933,16.,Characteristics of Adults (age 15-49 years),Women with 10 or more years of schooling (%),79.8,63.8,65.9,59.4,Himachal Pradesh
934,17.,Characteristics of Adults (age 15-49 years),Men with 10 or more years of schooling (%),78.7,70.1,71.3,71.2,Himachal Pradesh
935,18.,Characteristics of Adults (age 15-49 years),Women who have ever used the internet (%),78.9,45.2,49.7,na,Himachal Pradesh
936,19.,Characteristics of Adults (age 15-49 years),Men who have ever used the internet (%),83.7,65.1,67.9,na,Himachal Pradesh
937,20.,Marriage and Fertility,Women age 20-24 years married before age 18 years (%),7.2,5.1,5.4,8.6,Himachal Pradesh
938,21.,Marriage and Fertility,Men age 25-29 years married before age 21 years (%),*,4.1,4.6,7.3,Himachal Pradesh
939,22.,Marriage and Fertility,Total fertility rate (children per woman),1.4,1.7,1.7,1.9,Himachal Pradesh
940,23.,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.5,3.3,3.4,2.6,Himachal Pradesh
941,24.,Marriage and Fertility,Adolescent fertility rate for women age 15-19 years,21,22,22,25,Himachal Pradesh
942,25.,"Infant and Child Mortality Rates (per 1,000 live births)",Neonatal mortality rate (NNMR),*,21.3,20.5,25.5,Himachal Pradesh
943,26.,"Infant and Child Mortality Rates (per 1,000 live births)",Infant mortality rate (IMR),*,27.1,25.6,34.3,Himachal Pradesh
944,27.,"Infant and Child Mortality Rates (per 1,000 live births)",Under-five mortality rate (U5MR),*,30.9,28.9,37.6,Himachal Pradesh
945,28.,Current Use of Family Planning Methods (currently married women age 15–49 years),Any method (%),75.2,74.1,74.2,57.0,Himachal Pradesh
946,29.,Current Use of Family Planning Methods (currently married women age 15–49 years),Any modern method (%),59.3,64.0,63.4,52.1,Himachal Pradesh
947,30.,Current Use of Family Planning Methods (currently married women age 15–49 years),Female sterilization (%),21.7,40.2,37.7,34.5,Himachal Pradesh
948,31.,Current Use of Family Planning Methods (currently married women age 15–49 years),Male sterilization (%),2.5,3.5,3.3,2.4,Himachal Pradesh
949,32.,Current Use of Family Planning Methods (currently married women age 15–49 years),IUD/PPIUD (%),0.9,1.2,1.1,0.9,Himachal Pradesh
950,33.,Current Use of Family Planning Methods (currently married women age 15–49 years),Pill (%),2.0,1.4,1.5,1.5,Himachal Pradesh
951,34.,Current Use of Family Planning Methods (currently married women age 15–49 years),Condom (%),31.9,17.3,19.2,12.7,Himachal Pradesh
952,35.,Current Use of Family Planning Methods (currently married women age 15–49 years),Injectables (%),0.0,0.1,0.1,0.1,Himachal Pradesh
953,36.,Unmet Need for Family Planning (currently married women age 15–49 years),Total unmet need (%),9.3,7.7,7.9,15.7,Himachal Pradesh
954,37.,Unmet Need for Family Planning (currently married women age 15–49 years),Unmet need for spacing (%),3.7,2.6,2.8,4.8,Himachal Pradesh
955,38.,Quality of Family Planning Services,Health worker ever talked to female non-users about family planning (%),17.3,19.5,19.3,15.8,Himachal Pradesh
956,39.,Quality of Family Planning Services,Current users ever told about side effects of current method (%),(67.2),57.1,58.1,40.1,Himachal Pradesh
957,40.,Maternity Care (for last birth in the 5 years before the survey),Mothers who had an antenatal check-up in the first trimester (%),81.6,71.2,72.4,70.5,Himachal Pradesh
958,41.,Maternity Care (for last birth in the 5 years before the survey),Mothers who had at least 4 antenatal care visits (%),77.3,69.3,70.3,69.1,Himachal Pradesh
959,42.,Maternity Care (for last birth in the 5 years before the survey),Mothers whose last birth was protected against neonatal tetanus (%),86.7,90.5,90.0,86.2,Himachal Pradesh
960,43.,Maternity Care (for last birth in the 5 years before the survey),Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),72.9,66.4,67.2,49.4,Himachal Pradesh
961,44.,Maternity Care (for last birth in the 5 years before the survey),Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),44.4,42.8,43.0,22.7,Himachal Pradesh
962,45.,Maternity Care (for last birth in the 5 years before the survey),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.8,98.8,98.7,95.4,Himachal Pradesh
963,46.,Maternity Care (for last birth in the 5 years before the survey),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88.8,86.0,86.3,70.2,Himachal Pradesh
964,47.,Maternity Care (for last birth in the 5 years before the survey),Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"9,411","3,138",3760,3329,Himachal Pradesh
965,48.,Maternity Care (for last birth in the 5 years before the survey),Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,8.2,7.6,1.5,Himachal Pradesh
966,49.,Maternity Care (for last birth in the 5 years before the survey),Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.5,85.5,86.0,na,Himachal Pradesh
967,50.,Delivery Care (for births in the 5 years before the survey),Institutional births (%),93.1,87.6,88.2,76.4,Himachal Pradesh
968,51.,Delivery Care (for births in the 5 years before the survey),Institutional births in public facility (%),64.2,72.7,71.7,61.6,Himachal Pradesh
969,52.,Delivery Care (for births in the 5 years before the survey),Home births that were conducted by skilled health personnel (%),0.8,1.8,1.7,3.4,Himachal Pradesh
970,53.,Delivery Care (for births in the 5 years before the survey),Births attended by skilled health personnel (%),90.3,86.6,87.1,78.9,Himachal Pradesh
971,54.,Delivery Care (for births in the 5 years before the survey),Births delivered by caesarean section (%),26.2,20.3,21.0,16.7,Himachal Pradesh
972,55.,Delivery Care (for births in the 5 years before the survey),Births in a private health facility that were delivered by caesarean section (%),46.7,52.6,51.4,44.4,Himachal Pradesh
973,56.,Delivery Care (for births in the 5 years before the survey),Births in a public health facility that were delivered by caesarean section (%),19.8,17.2,17.4,16.4,Himachal Pradesh
974,57.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(94.1),88.5,89.3,69.5,Himachal Pradesh
975,58.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(100.0),95.8,96.4,85.4,Himachal Pradesh
976,59.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),(97.7),98.2,98.2,94.8,Himachal Pradesh
977,60.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine (%),(95.4),89.3,90.1,82.4,Himachal Pradesh
978,61.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(94.1),96.4,96.1,85.0,Himachal Pradesh
979,62.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(96.4),95.9,95.9,87.5,Himachal Pradesh
